OpenROAD 7c85c140308f01b73f57ea1117f3e43f39abd437 
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 340, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 4325, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 4334, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 4391, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 4544, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 4601, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 4612, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 4669, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 5214, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 5271, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 5328, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 5385, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 5442, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 5499, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 5556, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 5613, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 5670, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 5727, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 5784, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 5841, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 5898, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 5955, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 6012, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 6069, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 6126, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 6183, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 6240, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 6297, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 6354, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 6411, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 6468, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 6525, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 6582, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 6639, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 6696, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 6753, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 6810, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 6867, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 6924, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 6981, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 7043, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 7100, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 7157, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 7214, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 7271, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 7328, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 7385, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 7442, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 7499, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 7556, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 7613, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 7670, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 7727, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 7784, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 7841, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 7898, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 7955, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 8012, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 8069, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 8126, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 8183, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 8240, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 8297, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 8354, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 8411, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 8468, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 8525, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 8582, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 8639, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 8696, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 8753, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 8810, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 8867, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 8925, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 8964, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 9069, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 9174, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 9231, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 23886, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 23943, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 24000, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 24057, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 24114, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 24171, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 24228, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 24285, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 24342, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 24399, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 24456, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 24513, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 24570, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 24627, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 24684, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 24741, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 24798, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 24855, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 24912, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 24969, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 25026, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 25083, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 25140, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 25197, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 25254, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 25311, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 25368, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 25425, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 25482, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 25539, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 25596, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 25653, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 25715, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 25772, max_transition is 0.0.
[WARNING STA-0161] /home/hosni/GF180/PnR_2/caravel-gf180mcu/openlane/caravel_core/../../signoff/housekeeping/primetime-signoff/lib/tt/housekeeping.nom.lib line 25829, max_transition is 0.0.
